"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 07 16:47:21 GMT 2024","Sun Jan 07 16:47:24 GMT 2024","2788","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Jan 07 16:48:16 GMT 2024","Sun Jan 07 16:48:25 GMT 2024","8962","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sun Jan 07 16:47:26 GMT 2024","Sun Jan 07 16:47:27 GMT 2024","184","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Sun Jan 07 16:47:24 GMT 2024","Sun Jan 07 16:47:24 GMT 2024","181","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Sun Jan 07 16:47:31 GMT 2024","Sun Jan 07 16:47:54 GMT 2024","22300","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Jan 07 16:47:54 GMT 2024","Sun Jan 07 16:48:04 GMT 2024","9979","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Jan 07 16:47:27 GMT 2024","Sun Jan 07 16:47:27 GMT 2024","174","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Sun Jan 07 16:47:26 GMT 2024","Sun Jan 07 16:47:26 GMT 2024","348","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Sun Jan 07 16:47:19 GMT 2024","Sun Jan 07 16:47:21 GMT 2024","1255","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sun Jan 07 16:44:26 GMT 2024","Sun Jan 07 16:45:18 GMT 2024","52701","Surefire suite","Surefire test","com.teamcity.ui.SetupFirstStartTest","com.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Jan 07 16:47:25 GMT 2024","Sun Jan 07 16:47:25 GMT 2024","326","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Sun Jan 07 16:48:25 GMT 2024","Sun Jan 07 16:48:39 GMT 2024","13707","Surefire suite","Surefire test","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sun Jan 07 16:47:25 GMT 2024","Sun Jan 07 16:47:26 GMT 2024","232","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sun Jan 07 16:46:26 GMT 2024","Sun Jan 07 16:47:00 GMT 2024","33846","Surefire suite","Surefire test","com.teamcity.ui.SetupFirstStartTest","com.teamcity.ui.SetupFirstStartTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sun Jan 07 16:48:04 GMT 2024","Sun Jan 07 16:48:16 GMT 2024","11430","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Jan 07 16:47:27 GMT 2024","Sun Jan 07 16:47:31 GMT 2024","3964","Surefire suite","Surefire test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Sun Jan 07 16:47:24 GMT 2024","Sun Jan 07 16:47:25 GMT 2024","248","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Jan 07 16:47:26 GMT 2024","Sun Jan 07 16:47:26 GMT 2024","75","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Sun Jan 07 16:47:27 GMT 2024","Sun Jan 07 16:47:27 GMT 2024","241","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Sun Jan 07 16:47:26 GMT 2024","Sun Jan 07 16:47:26 GMT 2024","138","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
