"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 13:14:14 GMT 2024","Fri Sep 06 13:14:14 GMT 2024","257","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Fri Sep 06 13:14:15 GMT 2024","Fri Sep 06 13:14:16 GMT 2024","423","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Fri Sep 06 13:14:16 GMT 2024","Fri Sep 06 13:14:16 GMT 2024","245","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Fri Sep 06 13:14:16 GMT 2024","Fri Sep 06 13:14:16 GMT 2024","138","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Fri Sep 06 13:13:40 GMT 2024","Fri Sep 06 13:13:50 GMT 2024","9842","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Fri Sep 06 13:14:16 GMT 2024","Fri Sep 06 13:14:17 GMT 2024","178","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Fri Sep 06 13:14:16 GMT 2024","Fri Sep 06 13:14:16 GMT 2024","83","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Fri Sep 06 13:14:10 GMT 2024","Fri Sep 06 13:14:13 GMT 2024","2868","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Fri Sep 06 13:14:14 GMT 2024","Fri Sep 06 13:14:14 GMT 2024","183","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Fri Sep 06 13:14:14 GMT 2024","Fri Sep 06 13:14:15 GMT 2024","307","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Fri Sep 06 13:14:17 GMT 2024","Fri Sep 06 13:14:17 GMT 2024","270","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Fri Sep 06 13:14:09 GMT 2024","Fri Sep 06 13:14:10 GMT 2024","1437","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Fri Sep 06 13:14:15 GMT 2024","Fri Sep 06 13:14:15 GMT 2024","302","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Fri Sep 06 13:14:17 GMT 2024","Fri Sep 06 13:14:24 GMT 2024","7187","Surefire suite","Surefire test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Fri Sep 06 13:11:40 GMT 2024","Fri Sep 06 13:12:33 GMT 2024","53192","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
